Cod_Prod;Nom_Prod;Concent;Nom_Form_Farm;Presentac;Fracción;Num_RegSan;Nom_Titular;Nom_Fabricante;Nom_IFA;Nom_Rubro;Situación
49246;THYROZOL;10 mg;Tableta Recubierta;Caja Envase Blister Tableta Recubierta;50;EE05398;MERCK PERUANA S.A. ;MERCK HEALTHCARE KGAA;TIAMAZOL;ESPECIALIDAD FARMACEUTICA;ACT
39931;THYROZOL;10 mg;Tableta Recubierta;Caja Envase Blister Tabletas;50;EE00965;MERCK PERUANA S.A. ;MERCK HEALTHCARE KGAA;TIAMAZOL;ESPECIALIDAD FARMACEUTICA;ACT
39932;THYROZOL;20 mg;Tableta Recubierta;Caja Envase Blister Tableta Recubierta;50;EE00964;MERCK PERUANA S.A. ;MERCK HEALTHCARE KGAA;TIAMAZOL;ESPECIALIDAD FARMACEUTICA;ACT
35767;TIAMAZOL;5 mg;Tableta Recubierta;Envase Blister Tabletas;10;EN00983;INSTITUTO QUIMIOTERAPICO S.A. - IQFARMA;INSTITUTO QUIMIOTERAPICO S.A.;TIAMAZOL;ESPECIALIDAD FARMACEUTICA;ACT
35836;TIAMAZOL;5 mg;Tableta Recubierta;Caja Envase Blister Tabletas;100;EN00983;INSTITUTO QUIMIOTERAPICO S.A. - IQFARMA;INSTITUTO QUIMIOTERAPICO S.A.;TIAMAZOL;ESPECIALIDAD FARMACEUTICA;ACT
48983;TIAMINA;100 mg;Tableta Recubierta;Caja Envase Blister Tableta Recubierta;100;EN07291;LABORATORIOS PORTUGAL S.R.L.;LABORATORIOS PORTUGAL S.R.L.;TIAMINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
57590;TIAMINA;100 mg;Tableta;Caja Envase Blíster Tableta;100;EN04048;INSTITUTO QUIMIOTERAPICO S.A. - IQFARMA;INSTITUTO QUIMIOTERAPICO S.A.;TIAMINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
57632;TIANDEX;4 mg/ 2 mL;Solución Inyectable;Caja Ampolla x 2 mL;10;EE11364;DROGUERIA INVERSIONES JPS S.A.C.;GUIZHOU TIANDI PHARMACEUTICAL CO., LTD;DEXAMETASONA FOSFATO SODICO;ESPECIALIDAD FARMACEUTICA;ACT
58057;TIANDEX;4 mg/ 2 mL;Solución Inyectable;Caja Ampolla x 2 mL;100;EE11364;DROGUERIA INVERSIONES JPS S.A.C.;GUIZHOU TIANDI PHARMACEUTICAL CO., LTD;FOSFATO SODICO DE DEXAMETASONA;ESPECIALIDAD FARMACEUTICA;ACT
57153;TIAZID;12.5 mg;Tableta;Caja Envase Blíster Tableta Recubierta;100;EN02891;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;HIDROCLOROTIAZIDA;ESPECIALIDAD FARMACEUTICA;ACT
56495;TIAZID;50 mg;Tableta;Caja Envase Blíster Tableta;30;EN01039;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;HIDROCLOROTIAZIDA;ESPECIALIDAD FARMACEUTICA;ACT
40514;TIAZID;25 mg;Tableta;Caja Envase Blister Tabletas;30;EN02874;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;HIDROCLOROTIAZIDA;ESPECIALIDAD FARMACEUTICA;ACT
42302;TIAZID;12.5 mg;Tableta;Caja Envase Blister Tabletas;30;EN02891;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;HIDROCLOROTIAZIDA;ESPECIALIDAD FARMACEUTICA;ACT
46172;TIBEX;1.5 mg;Tableta;Caja Envase Blíster Tableta;1;EE03181;FARMINDUSTRIA S.A.;LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.;LEVONORGESTREL;ESPECIALIDAD FARMACEUTICA;ACT
58220;TIBOFEM;2.5 mg;Tableta;Caja Envase Blíster Tableta;30;EN04902;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;TIBOLONA;ESPECIALIDAD FARMACEUTICA;ACT
33997;TIBOLONA;2.5 mg;Tableta;Caja Envase Blister Tabletas;30;EN00248;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;TIBOLONA;ESPECIALIDAD FARMACEUTICA;ACT
59034;TICAFAST;60 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;30;EE13065;SUN PHARMACEUTICAL INDUSTRIES S.A.C.;SUN PHARMACEUTICAL INDUSTRIES LIMITED;TICAGRELOR;ESPECIALIDAD FARMACEUTICA;ACT
59035;TICAFAST;90 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;30;EE13066;SUN PHARMACEUTICAL INDUSTRIES S.A.C.;SUN PHARMACEUTICAL INDUSTRIES LIMITED;TICAGRELOR;ESPECIALIDAD FARMACEUTICA;ACT
53133;TICORD;50 mg;Polvo para Solución para Perfusión;Caja Vial;1;EE09117;ACCORD HEALTHCARE S.A.C.;INTAS PHARMACEUTICALS LIMITED;TIGECICLINA;ESPECIALIDAD FARMACEUTICA;ACT
57223;TIDOL ANTIGRIPAL;500 mg + 5 mg + 2 mg;Tableta;Caja Envase Sobre x 2 Tabletas;50;EE12165;BONAPHARM S.A.C.;STERLING HEALTHCARE LTD.;CLORFENAMINA MALEATO + FENILEFRINA CLORHIDRATO + PARACETAMOL;ESPECIALIDAD FARMACEUTICA;ACT
57254;TIDOL MIGRAÑA;500 mg + 65 mg;Tableta;Caja Sobre x 2 Tabletas;24;EE12050;BONAPHARM S.A.C.;STERLING HEALTHCARE LTD.;CAFEINA ANHIDRA + PARACETAMOL;ESPECIALIDAD FARMACEUTICA;ACT
35482;TIDORZAK;;Solución Oftálmica;Caja Frasco Gotero  X 5 mL;1;EN01485;MEDIFARMA S.A.;MEDIFARMA S.A.;DORZOLAMIDA + TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
48786;TIDORZAK;20 mg + 5 mg/ mL;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN01485;MEDIFARMA S.A.;MEDIFARMA S.A.;DORZOLAMIDA CLORHIDRATO + TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
54600;TIDORZAK FREE;20 mg/ mL + 5 mg/ mL;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN01485;MEDIFARMA S.A.;MEDIFARMA S.A.;DORZOLAMIDA CLORHIDRATO + TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
55620;TIFOCOL;250 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;100;EN08258;DISTRIBUIDORA DROGUERÍA LAS AMERICAS S.A.C.;LABORATORIOS PORTUGAL S.R.L.;TERBINAFINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
52414;TIFOCOL;1 %;Crema;Caja Tubo x 20 g;1;EN06916;DISTRIBUIDORA DROGUERÍA LAS AMERICAS S.A.C.;LABORATORIOS PORTUGAL S.R.L.;TERBINAFINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
58504;TIGEC;50 mg;Polvo para Solución para Perfusión;Caja Vial;10;EE10774;SEVEN PHARMA S.A.C.;CELON LABORATORIES PRIVATE LIMITED;TIGECICLINA;ESPECIALIDAD FARMACEUTICA;ACT
58392;TIGEC;50 mg;Polvo para Solución para Perfusión;Caja Vial;1;EE10774;SEVEN PHARMA S.A.C.;CELON LABORATORIES PRIVATE LIMITED;TIGECICLINA;ESPECIALIDAD FARMACEUTICA;ACT
53165;TIGECICLINA;50 mg;Polvo para Solución Inyectable;Caja Vial;1;EE09839;AGRIPINO SARMIENTO CCOSCCO;CAPLIN POINT LABORATORIES LIMITED;TIGECICLINA;ESPECIALIDAD FARMACEUTICA;ACT
57249;TIGENE;50 mg;Polvo para Solución para Perfusión;Caja Vial;1;EE10774;SEVEN PHARMA S.A.C.;CELON LABORATORIES PRIVATE LIMITED;TIGECICLINA;ESPECIALIDAD FARMACEUTICA;ACT
45493;TIGLITOR;20 mg;Tableta Recubierta;Caja Envase Folio Tabletas Recubiertas;30;EN05063;LABORATORIOS DELFARMA S.A.C.;LABORATORIOS DELFARMA S.A.C.;ATORVASTATINA DE CALCIO;ESPECIALIDAD FARMACEUTICA;ACT
58996;TIGLITOR 40;40 mg;Tableta Recubierta;Caja Envase Folio Tableta Recubierta;30;EN09686;LABORATORIOS DELFARMA S.A.C.;LABORATORIOS DELFARMA S.A.C.;ATORVASTATINA DE CALCIO TRIHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
58419;TILFORMIN 850;850 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;100;EE08504; TIL HEALTHCARE LTD S.A.C.;TIL HEALTHCARE PVT LTD;CLORHIDRATO DE METFORMINA;ESPECIALIDAD FARMACEUTICA;ACT
53724;TIMAB 100;100 mg;Comprimido Recubierto;Caja Envase Blister Comprimidos Recubiertos;180;EE01567;BIOTOSCANA FARMA DE PERU S.A.C.;LABORATORIO LKM S.A.;MESILATO DE IMATINIB;ESPECIALIDAD FARMACEUTICA;ACT
38993;TIMAB 400;400 mg;Comprimido Recubierto;Caja Envase Blíster Comprimidos;30;EE01564;LKM PERU S.A.;LABORATORIO LKM S.A.;MESILATO DE IMATINIB;ESPECIALIDAD FARMACEUTICA;ACT
61284;TIMETAMINA;0.5 %;Solución Oftálmica;Caja Frasco x 5 mL;1;EE13736;YEMPAC PHARMACEUTICA SOCIEDAD ANONIMA CERRADA-YEMPAC PHARMA S.A.C.;SWISS PARENTERALS LTD.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
58740;TIMOEYE-F;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EE13360;WORLD DRUG PHARMACEUTICAL S.A.C.;SWISS PARENTERALS LTD.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
40957;TIMOFTA;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN04632;ALBIS S.A.C.;ALBIS S.A.C. - PERU;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
49601;TIMOGLOBULINA;25 mg;Polvo para Solución para Perfusión;Caja Vial x 25 mg;1;BE01134;GENZYME DEL PERU S.A.C.;GENZYME IRELAND LIMITED;INMUNOGLOBULINA ANTITIMOCITICA (CONEJO);PRODUCTO DE ORIGEN BIOLOGICO;ACT
53276;TIMOGLOBULINA;25 mg;Polvo para Solución para Perfusión;Caja Vial x 25 mg;1;BE01134;SANOFI - AVENTIS DEL PERU S.A.;GENZYME IRELAND LIMITED;INMUNOGLOBULINA ANTITIMOCITICA (CONEJO);PRODUCTO DE ORIGEN BIOLOGICO;ACT
61650;TIMOLCAD-EYE;0.5 %;Solución Oftálmica;Caja Frasco x 5 mL;1;EE14953;DROGUERIA CADILLO S.A.C.;MERIT ORGANICS LTD.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
51413;TIMOLMARI;0.5 %;Solución Oftálmica;Caja Frasco x 5 mL;1;EE05893;JC.ROBRI E.I.R.L.;HUBEI KANGZHENG PHARMACEUTICAL CO., LTD.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
51951;TIMOLOL;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN07368;MEDIFARMA S.A.;MEDIFARMA S.A.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
38416;TIMOLOL;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN02841;VITALINE SOCIEDAD ANONIMA CERRADA;VITALINE S.A.C.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
40016;TIMOLOL;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;NG4956;VITALINE SOCIEDAD ANONIMA CERRADA;VITALINE S.A.C.;TIMOLOL MALEATO;MEDICAMENTO GENERICO;ACT
28753;TIMOLOL;0.5 %;Solución Oftálmica;Caja Frasco x 5 mL;1;NG4956;VITALINE SOCIEDAD ANONIMA CERRADA;VITALINE S.A.C.;TIMOLOL MALEATO;MEDICAMENTO GENERICO;ACT
59148;TIMOVIS;0.5 %;Solución Oftálmica;Caja Frasco x 5 mL;1;EN09088;LABORATORIOS PORTUGAL S.R.L.;CIFARMA S.A.C. - AREQUIPA - PERÚ;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
55837;TIMOX;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN04044;DROGUERIA LABORATORIOS LANSIER S.A.C.;VITALINE S.A.C.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
55838;TIMOX;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;10;EN04044;DROGUERIA LABORATORIOS LANSIER S.A.C.;VITALINE S.A.C.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
38884;TIMOX;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;1;EN04044;LABORATORIOS LANSIER S.A.C.;VITALINE S.A.C.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
46148;TIMOX;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 5 mL;10;EN04044;LABORATORIOS LANSIER S.A.C.;VITALINE S.A.C.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
54574;TINELLE®;2 mg + 0.03 mg;Comprimido Recubierto;Caja Envase Blíster x 28 Comprimidos Recubiertos;1;EE08551;GRUNENTHAL PERUANA S.A.;LABORATORIOS ANDROMACO S.A.;ETINILESTRADIOL + DIENOGEST;ESPECIALIDAD FARMACEUTICA;ACT
41333;TINIBE;400 mg;Comprimido Recubierto;Caja Envase Blíster Comprimidos;30;EE01750;EUROFARMA PERU S.A.C.;EUROFARMA LABORATORIOS S.A.;MESILATO DE IMATINIB;ESPECIALIDAD FARMACEUTICA;ACT
41334;TINIBE;100 mg;Comprimido Recubierto;Caja Envase Blíster Comprimidos;60;EE02314;EUROFARMA PERU S.A.C.;EUROFARMA LABORATORIOS S.A.;MESILATO DE IMATINIB;ESPECIALIDAD FARMACEUTICA;ACT
49029;TINICONAZOL;150 mg + 100 mg;Ovulo;Caja Envase Folio Óvulo ;10;EN07134;LABORATORIOS PORTUGAL S.R.L.;LABORATORIOS PORTUGAL S.R.L.;MICONAZOL NITRATO + TINIDAZOL;ESPECIALIDAD FARMACEUTICA;ACT
56535;TINICONAZOL NF;100 mg + 100 mg;Tableta Vaginal;Caja Envase Blíster Tableta Vaginal;10;EN07134;LABORATORIOS PORTUGAL S.R.L.;LABORATORIOS PORTUGAL S.R.L.;METRONIDAZOL + MICONAZOL NITRATO;ESPECIALIDAD FARMACEUTICA;ACT
56840;TINIDAZOL;500 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;8;EE08567;GENFAR DEL PERU S.A.C.;FAREVA VILLA RICA S.A.S.;TINIDAZOL;ESPECIALIDAD FARMACEUTICA;ACT
52910;TINIDAZOL;500 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;8;EE08567;SANOFI - AVENTIS DEL PERU S.A.;FAREVA VILLA RICA S.A.S.;TINIDAZOL;ESPECIALIDAD FARMACEUTICA;ACT
39102;TINOX;2.5 mg;Comprimido;Caja Envase Blíster Comprimidos;30;EE04057;FARMINDUSTRIA S.A.;LABORATORIOS RECALCINE S.A.;TIBOLONA;ESPECIALIDAD FARMACEUTICA;ACT
50704;TIOF;0.50 %;Solución Oftálmica;Caja Frasco Gotero x 10 mL;1;E6770;FARMAVAL PERU S.A.;LABORATORIOS SAVAL S.A.;TIMOLOL MALEATO;MEDICAMENTO DE MARCA;ACT
47114;TIOF;0.5 %;Solución Oftálmica;Caja Frasco Gotero x 10 mL;1;EE06399;FARMAVAL PERU S.A.;LABORATORIOS SAVAL S.A.;TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
47116;TIOF PLUS;20 mg + 5 mg;Solución Oftálmica;Caja Frasco Gotero x 6 mL;1;EE04850;FARMAVAL PERU S.A.;LABORATORIOS SAVAL S.A.;DORZOLAMIDA CLORHIDRATO + TIMOLOL MALEATO;ESPECIALIDAD FARMACEUTICA;ACT
41675;TIOGUANINA;40 mg;Tableta;Caja Envase Folio Tabletas;30;EN02142;LABORATORIOS INDUQUIMICA S.A.;LABORATORIOS INDUQUIMICA S.A.;TIOGUANINA;ESPECIALIDAD FARMACEUTICA;ACT
52297;TIORFAN;100 mg;Cápsula;Caja Envase Blister Cápsulas;10;EN07668;FERQUIM S.A.;CIFARMA S.A.C. - LIMA - PERÚ;RACECADOTRILO;ESPECIALIDAD FARMACEUTICA;ACT
49395;TIORFAN LACTANTES;10 mg/ g;Granulos para Suspensión Oral;Caja Sobre x 1 g;18;EN04240;FERQUIM S.A.;ALBIS S.A.C. - PERU;RACECADOTRILO;ESPECIALIDAD FARMACEUTICA;ACT
41216;TIORFAN LACTANTES;10 mg/ g;Granulos para Suspensión Oral;Caja Sobre x 1 g;18;EN04240;ALBIS S.A.C.;ALBIS S.A.C. - PERU;RACECADOTRILO;ESPECIALIDAD FARMACEUTICA;ACT
46939;TIORFAN NIÑOS;30 mg/ 3 g;Granulos para Suspensión Oral;Caja Sobre x 3 g;18;EN06328;ALBIS S.A.C.;ALBIS S.A.C. - PERU;RACECADOTRILO;ESPECIALIDAD FARMACEUTICA;ACT
